PhraseId,Sentiment
156061,2
156062,2
156063,2
156064,2
156065,2
156066,2
156067,0
156068,0
156069,0
156070,2
156071,0
156072,0
156073,0
156074,0
156075,2
156076,2
156077,0
156078,2
156079,2
156080,2
156081,2
156082,0
156083,2
156084,4
156085,4
156086,0
156087,0
156088,0
156089,2
156090,2
156091,2
156092,2
156093,2
156094,2
156095,1
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,0
156105,0
156106,0
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,4
156115,4
156116,0
156117,0
156118,0
156119,0
156120,0
156121,0
156122,0
156123,0
156124,0
156125,0
156126,2
156127,0
156128,2
156129,2
156130,2
156131,0
156132,2
156133,0
156134,0
156135,0
156136,2
156137,2
156138,2
156139,4
156140,0
156141,0
156142,0
156143,2
156144,0
156145,0
156146,0
156147,2
156148,2
156149,2
156150,0
156151,2
156152,2
156153,2
156154,3
156155,2
156156,0
156157,2
156158,2
156159,2
156160,0
156161,2
156162,0
156163,2
156164,2
156165,0
156166,3
156167,2
156168,3
156169,2
156170,2
156171,2
156172,2
156173,3
156174,2
156175,0
156176,0
156177,0
156178,2
156179,2
156180,2
156181,2
156182,0
156183,2
156184,0
156185,2
156186,2
156187,2
156188,2
156189,0
156190,2
156191,2
156192,2
156193,0
156194,3
156195,2
156196,4
156197,0
156198,0
156199,0
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,0
156207,2
156208,0
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,0
156216,0
156217,0
156218,0
156219,2
156220,0
156221,2
156222,2
156223,2
156224,2
156225,2
156226,1
156227,2
156228,2
156229,2
156230,0
156231,2
156232,2
156233,2
156234,2
156235,0
156236,2
156237,2
156238,2
156239,0
156240,2
156241,2
156242,2
156243,2
156244,2
156245,0
156246,2
156247,2
156248,0
156249,0
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,0
156260,2
156261,0
156262,4
156263,4
156264,0
156265,0
156266,0
156267,0
156268,0
156269,0
156270,0
156271,0
156272,2
156273,2
156274,2
156275,2
156276,2
156277,2
156278,2
156279,2
156280,2
156281,2
156282,2
156283,0
156284,2
156285,0
156286,2
156287,2
156288,0
156289,0
156290,0
156291,2
156292,4
156293,0
156294,0
156295,0
156296,2
156297,2
156298,2
156299,0
156300,2
156301,2
156302,2
156303,0
156304,2
156305,2
156306,2
156307,1
156308,0
156309,1
156310,0
156311,1
156312,1
156313,0
156314,2
156315,0
156316,2
156317,2
156318,2
156319,0
156320,0
156321,0
156322,0
156323,0
156324,2
156325,2
156326,4
156327,0
156328,2
156329,2
156330,2
156331,4
156332,0
156333,2
156334,2
156335,2
156336,2
156337,4
156338,0
156339,0
156340,0
156341,2
156342,4
156343,0
156344,0
156345,0
156346,3
156347,4
156348,0
156349,3
156350,0
156351,3
156352,4
156353,0
156354,0
156355,0
156356,2
156357,0
156358,0
156359,0
156360,0
156361,0
